provider,model,random_seed,n_shot,example_strategy,expert_name,accuracy_vs_expert,kappa_vs_expert,f1_vs_expert,accuracy_vs_gt,accuracy_expert_vs_gt,n_total_test
classical,SVM (RBF),123,40,hard,aniso_x2,0.9272727272727272,0.8553107530417625,0.9272727272727272,0.8727272727272727,0.8666666666666667,110
classical,k-NN (k=5),123,40,mixed,aniso_x2,0.9636363636363636,0.9268860086407444,0.9636363636363636,0.9181818181818182,0.8666666666666667,110
classical,Logistic Regression,123,40,mixed,aniso_x2,1.0,1.0,1.0,0.9,0.8666666666666667,110
classical,SVM (RBF),123,40,mixed,aniso_x2,0.9454545454545454,0.8900366544485172,0.9453636363636363,0.9,0.8666666666666667,110
classical,k-NN (k=5),123,40,random,aniso_x2,0.9363636363636364,0.8728953449983493,0.9364425831384727,0.8909090909090909,0.8666666666666667,110
classical,Logistic Regression,123,40,random,aniso_x2,0.9818181818181818,0.9635399403380842,0.9818362671810947,0.9,0.8666666666666667,110
classical,SVM (RBF),123,40,random,aniso_x2,0.9454545454545454,0.8909090909090909,0.945526767175228,0.8818181818181818,0.8666666666666667,110
classical,k-NN (k=3),123,5,easy,aniso_x1,0.9246575342465754,0.8486333647502357,0.9244620241915418,0.8904109589041096,0.8866666666666667,146
classical,Logistic Regression,123,5,easy,aniso_x1,0.9452054794520548,0.8899773926149208,0.9451021715324696,0.910958904109589,0.8866666666666667,146
classical,SVM (RBF),123,5,easy,aniso_x1,0.9452054794520548,0.8899773926149208,0.9451021715324696,0.910958904109589,0.8866666666666667,146
classical,k-NN (k=3),123,5,hard,aniso_x1,0.726027397260274,0.4461305007587253,0.7213980598867915,0.7602739726027398,0.8866666666666667,146
classical,Logistic Regression,123,5,hard,aniso_x1,0.7671232876712328,0.5313444108761329,0.7658883354088833,0.8013698630136986,0.8866666666666667,146
classical,SVM (RBF),123,5,hard,aniso_x1,0.5547945205479452,0.1330166270783848,0.5018295848088717,0.5753424657534246,0.8866666666666667,146
classical,k-NN (k=3),123,5,mixed,aniso_x1,0.9178082191780822,0.834216502649508,0.9169624958235884,0.8835616438356164,0.8866666666666667,146
